warehouse_name,box_type,coefficient,delivery_base,delivery_liter,storage_base,storage_liter,date,dt_next_box,dt_till_max,created_at
Актобе,standard,0.0000,66.70,20.30,0.1000,0.1000,2025-10-23,,2025-10-24,2025-10-23 10:55:54.515042
Астана Карагандинское шоссе,standard,0.0000,66.70,20.30,0.1000,0.1000,2025-10-23,,2025-10-24,2025-10-23 10:55:54.515348
Атакент,standard,0.0000,62.10,18.90,0.0800,0.0800,2025-10-23,,2025-10-24,2025-10-23 10:55:54.514686
Белая дача,standard,0.0000,89.70,27.30,0.1300,0.1300,2025-10-23,,2025-10-24,2025-10-23 10:55:12.125126
Белые Столбы,standard,0.0000,128.80,39.20,0.2000,0.2000,2025-10-23,,2025-10-24,2025-10-23 10:55:12.126436
Владимир,standard,0.0000,64.40,19.60,0.1000,0.1000,2025-10-23,,2025-10-24,2025-10-23 10:55:54.497126
Волгоград,standard,0.0000,50.60,15.40,0.0800,0.0800,2025-10-23,,2025-10-24,2025-10-23 10:55:54.503515
Воронеж,standard,0.0000,73.60,22.40,0.1100,0.1100,2025-10-23,,2025-10-24,2025-10-23 10:55:54.499013
Голицыно СГТ,standard,0.0000,34.50,10.50,0.0500,0.0500,2025-10-23,,2025-10-24,2025-10-23 10:55:12.130725
Екатеринбург - Испытателей 14г,standard,0.0000,101.20,30.80,0.1300,0.1300,2025-10-23,,2025-10-24,2025-10-23 10:55:54.508937
Екатеринбург - Перспективный 12,standard,0.0000,103.50,31.50,0.1600,0.1600,2025-10-23,,2025-10-24,2025-10-23 10:55:54.509391
Казань,standard,0.0000,101.20,30.80,0.1300,0.1300,2025-10-23,,2025-10-24,2025-10-23 10:55:54.506212
Коледино,standard,0.0000,89.70,27.30,0.1000,0.1000,2025-10-23,,2025-10-24,2025-10-23 10:55:12.119825
Котовск,standard,0.0000,69.00,21.00,0.1300,0.1300,2025-10-23,,2025-10-24,2025-10-23 10:55:12.129315
Краснодар,standard,0.0000,73.60,22.40,0.1000,0.1000,2025-10-23,,2025-10-24,2025-10-23 10:55:54.503118
